#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#instrument, detector, propid, target, ra, dec, filter1, filter2, pr_inv, exptime, date-obs, filename, Product Type, Calibration Level, Mission, Observation ID, Target Name, RA, Dec, Start Time, End Time, Exposure Time, Waveband, Filters, Target Classification, Observation Title, Release Date, Instrument, Principal Investigator, Proposal ID, Object ID, s_region, jpegURL, Product Group ID, Project, Distance (")
#@string, string, string, string, ra, dec, string, string, string, string, string, string, string, int, string, string, string, ra, dec, float, float, float, string, string, string, string, float, string, string, string, string, string, string, string, string, float
instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,target_classification,obs_title,t_obs_release,instrument_,proposal_pi,proposal_id,objID,s_region,jpegURL,obsid,project,distance
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,2,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507pnq_flt.fits,image,3,HST,IBP507050,ANY,17.98563263445,-72.66375291929,56133.14187,56133.16456,1330,OPTICAL,F475W,PARALLEL FIELD;UNIDENTIFIED,A Direct CO/H2 Abundance Measurement in Diffuse and Translucent LMC and SMC Molecular Clouds,56498.32127,WFC3/UVIS,ROMAN-DUVAL,12581,2012913225,POLYGON 18.09389584 -72.67130885 18.00762109 -72.63342394 17.876937559999998 -72.65684633 17.9636686 -72.69407017 18.09389584 -72.67130885 18.09389584 -72.67130885,http://archive.stsci.edu/hst/previews/IBP5/IBP507050_256.jpg,2003847861,DADS,0
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,2,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507pnq_flt.fits,image,3,HST,IBP507060,ANY,17.98859080103,-72.66413185652,56133.18156,56133.19692,905.867371,INFRARED,F160W,PARALLEL FIELD;UNIDENTIFIED,A Direct CO/H2 Abundance Measurement in Diffuse and Translucent LMC and SMC Molecular Clouds,56498.37088,WFC3/IR,ROMAN-DUVAL,12581,2012913226,POLYGON 18.07520602 -72.66749056 18.008974 -72.6397346 17.90468953 -72.66099952 17.96822817 -72.68933474 18.07520602 -72.66749056 18.07520602 -72.66749056,http://archive.stsci.edu/hst/previews/IBP5/IBP507060_256.jpg,2003847862,DADS,0
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,2,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507pnq_flt.fits,image,3,HST,hst_12581_07_wfc3_ir_f110w,ANY,17.9895159366757,-72.6641671179468,56133.16777,56133.1759,702.934,INFRARED,F110W,,,56498.30565,WFC3/IR,Roman-Duval,12581,2014098445,POLYGON J2000 18.00998630 -72.63914580 17.90350880 -72.66088180 17.96898830 -72.68918640 18.07555450 -72.66741570 18.00998630 -72.63914580,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12581_07_wfc3_ir_f110w&size=ALL&format=jpeg&output_size=256,2004294421,HLA,0
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,2,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507pnq_flt.fits,image,3,HST,hst_12581_07_wfc3_ir_f160w,ANY,17.9895161341366,-72.664167123883,56133.18156,56133.19692,905.867,INFRARED,F160W,,,56498.37088,WFC3/IR,Roman-Duval,12581,2014098447,POLYGON J2000 17.96898380 -72.68918910 18.07556860 -72.66741570 18.00999110 -72.63914300 17.90349510 -72.66088180 17.96898380 -72.68918910,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12581_07_wfc3_ir_f160w&size=ALL&format=jpeg&output_size=256,2004294423,HLA,0
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,2,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507pnq_flt.fits,image,3,HST,hst_12581_07_wfc3_uvis_f336w,ANY,17.9852439445194,-72.6640568586975,56133.02727,56133.13337,3192,OPTICAL,F336W,,,56498.31545,WFC3/UVIS,Roman-Duval,12581,2014098449,POLYGON J2000 17.87670100 -72.65686400 17.91973650 -72.67558230 18.05031280 -72.65231690 18.00719680 -72.63362660 17.87670100 -72.65686400 POLYGON J2000 17.92049340 -72.67568950 17.96303830 -72.69419200 18.09347110 -72.67127780 18.05084590 -72.65280280 17.92049340 -72.67568950,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12581_07_wfc3_uvis_f336w&size=ALL&format=jpeg&output_size=256,2004294425,HLA,0
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,2,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507pnq_flt.fits,image,3,HST,hst_12581_07_wfc3_uvis_f475w,ANY,17.985238446571,-72.6640543522542,56133.14187,56133.16456,1330,OPTICAL,F475W,,,56498.32127,WFC3/UVIS,Roman-Duval,12581,2014098450,POLYGON J2000 17.87671750 -72.65686350 17.91974590 -72.67557860 18.05029630 -72.65231740 18.00718750 -72.63363020 17.87671750 -72.65686350 POLYGON J2000 17.96303480 -72.69418480 18.09344940 -72.67127320 18.05082740 -72.65280010 17.92049310 -72.67568410 17.96303480 -72.69418480,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12581_07_wfc3_uvis_f475w&size=ALL&format=jpeg&output_size=256,2004294426,HLA,0
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,2,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507pnq_flt.fits,image,3,HST,hst_12581_07_wfc3_uvis_f814w,ANY,17.9852419441087,-72.6640563546978,56133.04355,56133.10047,1431.5,OPTICAL,F814W,,,56498.24356,WFC3/UVIS,Roman-Duval,12581,2014098451,POLYGON J2000 18.09345780 -72.67127650 18.05083480 -72.65280200 17.92049870 -72.67568880 17.96304140 -72.69419080 18.09345780 -72.67127650 POLYGON J2000 17.91974490 -72.67558160 18.05030450 -72.65231760 18.00718840 -72.63362730 17.87670930 -72.65686330 17.91974490 -72.67558160,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12581_07_wfc3_uvis_f814w&size=ALL&format=jpeg&output_size=256,2004294427,HLA,0
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,1,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507psq_flt.fits,image,3,HST,IBP507030,ANY,17.98563263445,-72.66375291929,56133.02727,56133.13337,3192,OPTICAL,F336W,PARALLEL FIELD;UNIDENTIFIED,A Direct CO/H2 Abundance Measurement in Diffuse and Translucent LMC and SMC Molecular Clouds,56498.31545,WFC3/UVIS,ROMAN-DUVAL,12581,2012913223,POLYGON 18.09389584 -72.67130885 18.00762109 -72.63342394 17.876937559999998 -72.65684633 17.9636686 -72.69407017 18.09389584 -72.67130885 18.09389584 -72.67130885,http://archive.stsci.edu/hst/previews/IBP5/IBP507030_256.jpg,2003847859,DADS,0
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,1,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507psq_flt.fits,image,3,HST,IBP507040,ANY,17.98563263445,-72.66375291929,56133.04355,56133.10047,1431.5,OPTICAL,F814W,PARALLEL FIELD;UNIDENTIFIED,A Direct CO/H2 Abundance Measurement in Diffuse and Translucent LMC and SMC Molecular Clouds,56498.24356,WFC3/UVIS,ROMAN-DUVAL,12581,2012913224,POLYGON 18.09389584 -72.67130885 18.00762109 -72.63342394 17.876937559999998 -72.65684633 17.9636686 -72.69407017 18.09389584 -72.67130885 18.09389584 -72.67130885,http://archive.stsci.edu/hst/previews/IBP5/IBP507040_256.jpg,2003847860,DADS,0
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,1,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507psq_flt.fits,image,3,HST,IBP507050,ANY,17.98563263445,-72.66375291929,56133.14187,56133.16456,1330,OPTICAL,F475W,PARALLEL FIELD;UNIDENTIFIED,A Direct CO/H2 Abundance Measurement in Diffuse and Translucent LMC and SMC Molecular Clouds,56498.32127,WFC3/UVIS,ROMAN-DUVAL,12581,2012913225,POLYGON 18.09389584 -72.67130885 18.00762109 -72.63342394 17.876937559999998 -72.65684633 17.9636686 -72.69407017 18.09389584 -72.67130885 18.09389584 -72.67130885,http://archive.stsci.edu/hst/previews/IBP5/IBP507050_256.jpg,2003847861,DADS,0
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,1,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507psq_flt.fits,image,3,HST,IBP507060,ANY,17.98859080103,-72.66413185652,56133.18156,56133.19692,905.867371,INFRARED,F160W,PARALLEL FIELD;UNIDENTIFIED,A Direct CO/H2 Abundance Measurement in Diffuse and Translucent LMC and SMC Molecular Clouds,56498.37088,WFC3/IR,ROMAN-DUVAL,12581,2012913226,POLYGON 18.07520602 -72.66749056 18.008974 -72.6397346 17.90468953 -72.66099952 17.96822817 -72.68933474 18.07520602 -72.66749056 18.07520602 -72.66749056,http://archive.stsci.edu/hst/previews/IBP5/IBP507060_256.jpg,2003847862,DADS,0
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,1,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507psq_flt.fits,image,3,HST,hst_12581_07_wfc3_ir_f110w,ANY,17.9895159366757,-72.6641671179468,56133.16777,56133.1759,702.934,INFRARED,F110W,,,56498.30565,WFC3/IR,Roman-Duval,12581,2014098445,POLYGON J2000 18.00998630 -72.63914580 17.90350880 -72.66088180 17.96898830 -72.68918640 18.07555450 -72.66741570 18.00998630 -72.63914580,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12581_07_wfc3_ir_f110w&size=ALL&format=jpeg&output_size=256,2004294421,HLA,0
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,1,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507psq_flt.fits,image,3,HST,hst_12581_07_wfc3_ir_f160w,ANY,17.9895161341366,-72.664167123883,56133.18156,56133.19692,905.867,INFRARED,F160W,,,56498.37088,WFC3/IR,Roman-Duval,12581,2014098447,POLYGON J2000 17.96898380 -72.68918910 18.07556860 -72.66741570 18.00999110 -72.63914300 17.90349510 -72.66088180 17.96898380 -72.68918910,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12581_07_wfc3_ir_f160w&size=ALL&format=jpeg&output_size=256,2004294423,HLA,0
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,1,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507psq_flt.fits,image,3,HST,hst_12581_07_wfc3_uvis_f336w,ANY,17.9852439445194,-72.6640568586975,56133.02727,56133.13337,3192,OPTICAL,F336W,,,56498.31545,WFC3/UVIS,Roman-Duval,12581,2014098449,POLYGON J2000 17.87670100 -72.65686400 17.91973650 -72.67558230 18.05031280 -72.65231690 18.00719680 -72.63362660 17.87670100 -72.65686400 POLYGON J2000 17.92049340 -72.67568950 17.96303830 -72.69419200 18.09347110 -72.67127780 18.05084590 -72.65280280 17.92049340 -72.67568950,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12581_07_wfc3_uvis_f336w&size=ALL&format=jpeg&output_size=256,2004294425,HLA,0
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,1,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507psq_flt.fits,image,3,HST,hst_12581_07_wfc3_uvis_f475w,ANY,17.985238446571,-72.6640543522542,56133.14187,56133.16456,1330,OPTICAL,F475W,,,56498.32127,WFC3/UVIS,Roman-Duval,12581,2014098450,POLYGON J2000 17.87671750 -72.65686350 17.91974590 -72.67557860 18.05029630 -72.65231740 18.00718750 -72.63363020 17.87671750 -72.65686350 POLYGON J2000 17.96303480 -72.69418480 18.09344940 -72.67127320 18.05082740 -72.65280010 17.92049310 -72.67568410 17.96303480 -72.69418480,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12581_07_wfc3_uvis_f475w&size=ALL&format=jpeg&output_size=256,2004294426,HLA,0
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,1,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507psq_flt.fits,image,3,HST,hst_12581_07_wfc3_uvis_f814w,ANY,17.9852419441087,-72.6640563546978,56133.04355,56133.10047,1431.5,OPTICAL,F814W,,,56498.24356,WFC3/UVIS,Roman-Duval,12581,2014098451,POLYGON J2000 18.09345780 -72.67127650 18.05083480 -72.65280200 17.92049870 -72.67568880 17.96304140 -72.69419080 18.09345780 -72.67127650 POLYGON J2000 17.91974490 -72.67558160 18.05030450 -72.65231760 18.00718840 -72.63362730 17.87670930 -72.65686330 17.91974490 -72.67558160,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12581_07_wfc3_uvis_f814w&size=ALL&format=jpeg&output_size=256,2004294427,HLA,0
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,980,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507qlq_flt.fits,image,3,HST,IBP507030,ANY,17.98563263445,-72.66375291929,56133.02727,56133.13337,3192,OPTICAL,F336W,PARALLEL FIELD;UNIDENTIFIED,A Direct CO/H2 Abundance Measurement in Diffuse and Translucent LMC and SMC Molecular Clouds,56498.31545,WFC3/UVIS,ROMAN-DUVAL,12581,2012913223,POLYGON 18.09389584 -72.67130885 18.00762109 -72.63342394 17.876937559999998 -72.65684633 17.9636686 -72.69407017 18.09389584 -72.67130885 18.09389584 -72.67130885,http://archive.stsci.edu/hst/previews/IBP5/IBP507030_256.jpg,2003847859,DADS,0
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,980,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507qlq_flt.fits,image,3,HST,IBP507040,ANY,17.98563263445,-72.66375291929,56133.04355,56133.10047,1431.5,OPTICAL,F814W,PARALLEL FIELD;UNIDENTIFIED,A Direct CO/H2 Abundance Measurement in Diffuse and Translucent LMC and SMC Molecular Clouds,56498.24356,WFC3/UVIS,ROMAN-DUVAL,12581,2012913224,POLYGON 18.09389584 -72.67130885 18.00762109 -72.63342394 17.876937559999998 -72.65684633 17.9636686 -72.69407017 18.09389584 -72.67130885 18.09389584 -72.67130885,http://archive.stsci.edu/hst/previews/IBP5/IBP507040_256.jpg,2003847860,DADS,0
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,980,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507qlq_flt.fits,image,3,HST,IBP507050,ANY,17.98563263445,-72.66375291929,56133.14187,56133.16456,1330,OPTICAL,F475W,PARALLEL FIELD;UNIDENTIFIED,A Direct CO/H2 Abundance Measurement in Diffuse and Translucent LMC and SMC Molecular Clouds,56498.32127,WFC3/UVIS,ROMAN-DUVAL,12581,2012913225,POLYGON 18.09389584 -72.67130885 18.00762109 -72.63342394 17.876937559999998 -72.65684633 17.9636686 -72.69407017 18.09389584 -72.67130885 18.09389584 -72.67130885,http://archive.stsci.edu/hst/previews/IBP5/IBP507050_256.jpg,2003847861,DADS,0
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,980,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507qlq_flt.fits,image,3,HST,IBP507060,ANY,17.98859080103,-72.66413185652,56133.18156,56133.19692,905.867371,INFRARED,F160W,PARALLEL FIELD;UNIDENTIFIED,A Direct CO/H2 Abundance Measurement in Diffuse and Translucent LMC and SMC Molecular Clouds,56498.37088,WFC3/IR,ROMAN-DUVAL,12581,2012913226,POLYGON 18.07520602 -72.66749056 18.008974 -72.6397346 17.90468953 -72.66099952 17.96822817 -72.68933474 18.07520602 -72.66749056 18.07520602 -72.66749056,http://archive.stsci.edu/hst/previews/IBP5/IBP507060_256.jpg,2003847862,DADS,0
WFC3,UVIS,12581,ANY,17.985633,-72.663753,...,...,Roman-Duval,980,2012-07-25,smc_fields/WFC3/12581_ANY/ibp507qlq_flt.fits,image,3,HST,hst_12581_07_wfc3_ir_f110w,ANY,17.9895159366757,-72.6641671179468,56133.16777,56133.1759,702.934,INFRARED,F110W,,,56498.30565,WFC3/IR,Roman-Duval,12581,2014098445,POLYGON J2000 18.00998630 -72.63914580 17.90350880 -72.66088180 17.96898830 -72.68918640 18.07555450 -72.66741570 18.00998630 -72.63914580,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12581_07_wfc3_ir_f110w&size=ALL&format=jpeg&output_size=256,2004294421,HLA,0
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,500,2012-09-15,smc_fields/ACS/12581_ANY/jbp509kgq_flt.fits,image,3,HST,JBP509010,ANY,18.60585595105,-73.41297246118,56185.75421,56185.86723,3461.5,OPTICAL,F814W,PARALLEL FIELD;UNIDENTIFIED,A Direct CO/H2 Abundance Measurement in Diffuse and Translucent LMC and SMC Molecular Clouds,56551.03054,ACS/WFC,ROMAN-DUVAL,12581,2012944571,POLYGON 18.75059811 -73.42913147 18.65375359 -73.38022542 18.47543618 -73.40225791 18.56975014 -73.45312985 18.75059811 -73.42913147 18.75059811 -73.42913147,http://archive.stsci.edu/hst/previews/JBP5/JBP509010_256.jpg,2003879207,DADS,0
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,500,2012-09-15,smc_fields/ACS/12581_ANY/jbp509kgq_flt.fits,image,3,HST,JBP509020,ANY,18.60585595105,-73.41297246118,56185.87046,56185.95116,3580,OPTICAL,F475W,PARALLEL FIELD;UNIDENTIFIED,A Direct CO/H2 Abundance Measurement in Diffuse and Translucent LMC and SMC Molecular Clouds,56551.14432,ACS/WFC,ROMAN-DUVAL,12581,2012944572,POLYGON 18.75059811 -73.42913147 18.65375359 -73.38022542 18.47543618 -73.40225791 18.56975014 -73.45312985 18.75059811 -73.42913147 18.75059811 -73.42913147,http://archive.stsci.edu/hst/previews/JBP5/JBP509020_256.jpg,2003879208,DADS,0
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,500,2012-09-15,smc_fields/ACS/12581_ANY/jbp509kgq_flt.fits,image,3,HST,hst_08059_dy_wfpc2_f606w_wf,LIST-1,18.5560521497625,-73.4124718701478,51819.09459,51819.09969,250,OPTICAL,F606W,,,51819.49593,WFPC2/WFC,CASERTANO,8059,2013525122,POLYGON J2000 18.53248900 -73.39554600 18.51628690 -73.40227384 18.48398600 -73.39584200 18.43969300 -73.41399100 18.50331700 -73.42664900 18.50348623 -73.42657976 18.56165400 -73.43791100 18.60021253 -73.42178020 18.60077300 -73.42188800 18.60534224 -73.41995596 18.64407900 -73.40355500 18.57982400 -73.39117900 18.55777586 -73.40051513 18.53248900 -73.39554600,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_dy_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004128624,HLA,0
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,500,2012-09-15,smc_fields/ACS/12581_ANY/jbp509kgq_flt.fits,image,3,HST,hst_08059_dy_wfpc2_f814w_wf,LIST-1,18.5560521497625,-73.4124718701478,51819.11196,51819.127,1120,OPTICAL,F814W,,,51819.50539,WFPC2/WFC,CASERTANO,8059,2013525126,POLYGON J2000 18.60534224 -73.41995596 18.64407900 -73.40355500 18.57982400 -73.39117900 18.55777586 -73.40051513 18.53248900 -73.39554600 18.51628690 -73.40227384 18.48398600 -73.39584200 18.43969300 -73.41399100 18.50331700 -73.42664900 18.50348623 -73.42657976 18.56165400 -73.43791100 18.60021253 -73.42178020 18.60077300 -73.42188800 18.60534224 -73.41995596,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_dy_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004128628,HLA,0
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,500,2012-09-15,smc_fields/ACS/12581_ANY/jbp509kgq_flt.fits,image,3,HST,hst_08805_na_wfpc2_f606w_wf,ANY,18.5560521497625,-73.4124718701478,51819.05293,51819.07885,2100,OPTICAL,F606W,,,51819.49167,WFPC2/WFC,CASERTANO,8805,2013549636,POLYGON J2000 18.64407900 -73.40355500 18.57982400 -73.39117900 18.55777586 -73.40051513 18.53248900 -73.39554600 18.51628690 -73.40227384 18.48398600 -73.39584200 18.43969300 -73.41399100 18.50331700 -73.42664900 18.50348623 -73.42657976 18.56165400 -73.43791100 18.60021253 -73.42178020 18.60077300 -73.42188800 18.60534224 -73.41995596 18.64407900 -73.40355500,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08805_na_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004153138,HLA,0
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,500,2012-09-15,smc_fields/ACS/12581_ANY/jbp509kgq_flt.fits,image,3,HST,hst_08805_nh_wfpc2_f606w_wf,ANY,18.5560521497625,-73.4124718701478,51819.13071,51819.14645,1200,OPTICAL,F606W,,,51819.50726,WFPC2/WFC,CASERTANO,8805,2013549648,POLYGON J2000 18.60077300 -73.42188800 18.60534224 -73.41995596 18.64407900 -73.40355500 18.57982400 -73.39117900 18.55777586 -73.40051513 18.53248900 -73.39554600 18.51628690 -73.40227384 18.48398600 -73.39584200 18.43969300 -73.41399100 18.50331700 -73.42664900 18.50348623 -73.42657976 18.56165400 -73.43791100 18.60021253 -73.42178020 18.60077300 -73.42188800,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08805_nh_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004153150,HLA,0
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,980,2012-09-15,smc_fields/ACS/12581_ANY/jbp509kmq_flt.fits,image,3,HST,JBP509010,ANY,18.60585595105,-73.41297246118,56185.75421,56185.86723,3461.5,OPTICAL,F814W,PARALLEL FIELD;UNIDENTIFIED,A Direct CO/H2 Abundance Measurement in Diffuse and Translucent LMC and SMC Molecular Clouds,56551.03054,ACS/WFC,ROMAN-DUVAL,12581,2012944571,POLYGON 18.75059811 -73.42913147 18.65375359 -73.38022542 18.47543618 -73.40225791 18.56975014 -73.45312985 18.75059811 -73.42913147 18.75059811 -73.42913147,http://archive.stsci.edu/hst/previews/JBP5/JBP509010_256.jpg,2003879207,DADS,0
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,980,2012-09-15,smc_fields/ACS/12581_ANY/jbp509kmq_flt.fits,image,3,HST,JBP509020,ANY,18.60585595105,-73.41297246118,56185.87046,56185.95116,3580,OPTICAL,F475W,PARALLEL FIELD;UNIDENTIFIED,A Direct CO/H2 Abundance Measurement in Diffuse and Translucent LMC and SMC Molecular Clouds,56551.14432,ACS/WFC,ROMAN-DUVAL,12581,2012944572,POLYGON 18.75059811 -73.42913147 18.65375359 -73.38022542 18.47543618 -73.40225791 18.56975014 -73.45312985 18.75059811 -73.42913147 18.75059811 -73.42913147,http://archive.stsci.edu/hst/previews/JBP5/JBP509020_256.jpg,2003879208,DADS,0
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,980,2012-09-15,smc_fields/ACS/12581_ANY/jbp509kmq_flt.fits,image,3,HST,hst_08059_dy_wfpc2_f606w_wf,LIST-1,18.5560521497625,-73.4124718701478,51819.09459,51819.09969,250,OPTICAL,F606W,,,51819.49593,WFPC2/WFC,CASERTANO,8059,2013525122,POLYGON J2000 18.53248900 -73.39554600 18.51628690 -73.40227384 18.48398600 -73.39584200 18.43969300 -73.41399100 18.50331700 -73.42664900 18.50348623 -73.42657976 18.56165400 -73.43791100 18.60021253 -73.42178020 18.60077300 -73.42188800 18.60534224 -73.41995596 18.64407900 -73.40355500 18.57982400 -73.39117900 18.55777586 -73.40051513 18.53248900 -73.39554600,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_dy_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004128624,HLA,0
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,980,2012-09-15,smc_fields/ACS/12581_ANY/jbp509kmq_flt.fits,image,3,HST,hst_08059_dy_wfpc2_f814w_wf,LIST-1,18.5560521497625,-73.4124718701478,51819.11196,51819.127,1120,OPTICAL,F814W,,,51819.50539,WFPC2/WFC,CASERTANO,8059,2013525126,POLYGON J2000 18.60534224 -73.41995596 18.64407900 -73.40355500 18.57982400 -73.39117900 18.55777586 -73.40051513 18.53248900 -73.39554600 18.51628690 -73.40227384 18.48398600 -73.39584200 18.43969300 -73.41399100 18.50331700 -73.42664900 18.50348623 -73.42657976 18.56165400 -73.43791100 18.60021253 -73.42178020 18.60077300 -73.42188800 18.60534224 -73.41995596,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_dy_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004128628,HLA,0
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,980,2012-09-15,smc_fields/ACS/12581_ANY/jbp509kmq_flt.fits,image,3,HST,hst_08805_na_wfpc2_f606w_wf,ANY,18.5560521497625,-73.4124718701478,51819.05293,51819.07885,2100,OPTICAL,F606W,,,51819.49167,WFPC2/WFC,CASERTANO,8805,2013549636,POLYGON J2000 18.64407900 -73.40355500 18.57982400 -73.39117900 18.55777586 -73.40051513 18.53248900 -73.39554600 18.51628690 -73.40227384 18.48398600 -73.39584200 18.43969300 -73.41399100 18.50331700 -73.42664900 18.50348623 -73.42657976 18.56165400 -73.43791100 18.60021253 -73.42178020 18.60077300 -73.42188800 18.60534224 -73.41995596 18.64407900 -73.40355500,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08805_na_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004153138,HLA,0
ACS,WFC,12581,ANY,18.605856,-73.412972,CLEAR1L,F814W,Roman-Duval,980,2012-09-15,smc_fields/ACS/12581_ANY/jbp509kmq_flt.fits,image,3,HST,hst_08805_nh_wfpc2_f606w_wf,ANY,18.5560521497625,-73.4124718701478,51819.13071,51819.14645,1200,OPTICAL,F606W,,,51819.50726,WFPC2/WFC,CASERTANO,8805,2013549648,POLYGON J2000 18.60077300 -73.42188800 18.60534224 -73.41995596 18.64407900 -73.40355500 18.57982400 -73.39117900 18.55777586 -73.40051513 18.53248900 -73.39554600 18.51628690 -73.40227384 18.48398600 -73.39584200 18.43969300 -73.41399100 18.50331700 -73.42664900 18.50348623 -73.42657976 18.56165400 -73.43791100 18.60021253 -73.42178020 18.60077300 -73.42188800,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08805_nh_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004153150,HLA,0
